team_won,team_lost,stars_of_tournament,shape,event_name,score,time,team1,team2,target
Nouns,Take Flyte,0,nuke,Esports World Cup 2024 North America Open Qualifier,19 - 16,Results for April 18th 2024,Nouns,Take Flyte,1
Elevate,Wildcard,0,vtg,Esports World Cup 2024 North America Open Qualifier,10 - 13,Results for April 18th 2024,Wildcard,Elevate,0
Liquid,straykids,1,anc,Esports World Cup 2024 North America Open Qualifier,13 - 6,Results for April 18th 2024,Liquid,straykids,1
G3,NRG,0,inf,Esports World Cup 2024 North America Open Qualifier,2 - 13,Results for April 18th 2024,NRG,G3,0
MIBR,Case,0,anc,Esports World Cup 2024 South America Open Qualifier,13 - 7,Results for April 18th 2024,MIBR,Case,1
ODDIK,W7M,0,nuke,Esports World Cup 2024 South America Open Qualifier,13 - 11,Results for April 18th 2024,ODDIK,W7M,1
RED Canids,O PLANO,0,nuke,Esports World Cup 2024 South America Open Qualifier,13 - 8,Results for April 18th 2024,RED Canids,O PLANO,1
Fluxo,Solid,0,inf,Esports World Cup 2024 South America Open Qualifier,13 - 2,Results for April 18th 2024,Fluxo,Solid,1
JANO,Sampi,0,def,CCT Season 2 Europe Series 1 Closed Qualifier,1 - 0,Results for April 18th 2024,JANO,Sampi,1
Illuminar,Secret,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,0 - 2,Results for April 17th 2024,Secret,Illuminar,0
PARIVISION,HAVU,0,bo3,RES Regional Series 2 Europe,2 - 0,Results for April 17th 2024,PARIVISION,HAVU,1
Permitta,PARIVISION,0,bo3,YaLLa Compass Spring 2024,0 - 2,Results for April 17th 2024,PARIVISION,Permitta,0
esmagaB,500,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,0 - 2,Results for April 17th 2024,500,esmagaB,0
Nemiga,Alliance,0,bo3,RES Regional Series 2 Europe,2 - 0,Results for April 17th 2024,Nemiga,Alliance,1
Passion UA,Sashi,0,bo3,European Pro League Season 15,1 - 2,Results for April 17th 2024,Sashi,Passion UA,0
ENCE,Enterprise,1,bo3,Thunderpick World Championship 2024 EU Closed Qualifier 1,2 - 1,Results for April 17th 2024,ENCE,Enterprise,1
NOM,Sampi,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,1 - 2,Results for April 17th 2024,Sampi,NOM,0
3DMAX,BLEED,0,bo3,YaLLa Compass Spring 2024,2 - 1,Results for April 17th 2024,3DMAX,BLEED,1
Rooster,VexX,0,bo3,Esports World Cup 2024 Oceania Open Qualifier,2 - 1,Results for April 17th 2024,Rooster,VexX,1
Zero Tenacity,B8,0,bo3,RES Regional Series 2 Europe,0 - 2,Results for April 17th 2024,B8,Zero Tenacity,0
ECLOT,Alliance,0,bo3,European Pro League Season 15,1 - 2,Results for April 17th 2024,Alliance,ECLOT,0
Rare Atom,NKT,0,bo3,Esports World Cup 2024 Asia Open Qualifier,2 - 0,Results for April 17th 2024,Rare Atom,NKT,1
TYLOO,Sheer Conquer,0,bo3,Esports World Cup 2024 Asia Open Qualifier,0 - 2,Results for April 17th 2024,Sheer Conquer,TYLOO,0
Sangal,9 Pandas,0,bo3,RES Regional Series 2 Europe,1 - 2,Results for April 17th 2024,9 Pandas,Sangal,0
UNiTY,Viperio,0,bo3,United21 League Season 14,2 - 1,Results for April 17th 2024,UNiTY,Viperio,1
Gaimin Gladiators,SINNERS,1,bo3,Thunderpick World Championship 2024 EU Closed Qualifier 1,2 - 0,Results for April 17th 2024,Gaimin Gladiators,SINNERS,1
Mindfreak,KZG,0,anc,Esports World Cup 2024 Oceania Open Qualifier,10 - 13,Results for April 17th 2024,KZG,Mindfreak,0
RUBY,JANO,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,2 - 0,Results for April 17th 2024,RUBY,JANO,1
TYLOO,The Huns,0,nuke,Esports World Cup 2024 Asia Open Qualifier,13 - 2,Results for April 17th 2024,TYLOO,The Huns,1
Rare Atom,MIRAI,0,inf,Esports World Cup 2024 Asia Open Qualifier,9 - 13,Results for April 17th 2024,MIRAI,Rare Atom,0
NKT,LYG,0,anb,Esports World Cup 2024 Asia Open Qualifier,13 - 10,Results for April 17th 2024,NKT,LYG,1
VexX,Vantage,0,nuke,Esports World Cup 2024 Oceania Open Qualifier,13 - 9,Results for April 17th 2024,VexX,Vantage,1
Sheer Conquer,Dewa United,0,anc,Esports World Cup 2024 Asia Open Qualifier,6 - 13,Results for April 17th 2024,Dewa United,Sheer Conquer,0
Rooster,Canon Event,0,anb,Esports World Cup 2024 Oceania Open Qualifier,13 - 1,Results for April 17th 2024,Rooster,Canon Event,1
Endpoint,EYEBALLERS,0,bo3,Elisa Invitational Spring 2024,0 - 2,Results for April 17th 2024,EYEBALLERS,Endpoint,0
DXA,Blitz,0,ovp,Esports World Cup 2024 Oceania Open Qualifier,13 - 8,Results for April 17th 2024,DXA,Blitz,1
MOUZ NXT,JANO,0,bo3,European Pro League Season 15,1 - 2,Results for April 17th 2024,JANO,MOUZ NXT,0
O PLANO,BESTIA,0,anc,Esports World Cup 2024 South America Open Qualifier,10 - 13,Results for April 17th 2024,BESTIA,O PLANO,0
Fluxo,Hype,0,mrg,Esports World Cup 2024 South America Open Qualifier,13 - 4,Results for April 17th 2024,Fluxo,Hype,1
W7M,Sharks,0,nuke,Esports World Cup 2024 South America Open Qualifier,11 - 13,Results for April 17th 2024,Sharks,W7M,0
ODDIK,DANVIET,0,anc,Esports World Cup 2024 South America Open Qualifier,13 - 5,Results for April 17th 2024,ODDIK,DANVIET,1
RED Canids,LaChampionsLiga,0,nuke,Esports World Cup 2024 South America Open Qualifier,13 - 3,Results for April 17th 2024,RED Canids,LaChampionsLiga,1
Case,Galorys,0,nuke,Esports World Cup 2024 South America Open Qualifier,13 - 2,Results for April 17th 2024,Case,Galorys,1
Solid,paiN Academy,0,anc,Esports World Cup 2024 South America Open Qualifier,13 - 5,Results for April 17th 2024,Solid,paiN Academy,1
MIBR,Bounty Hunters,0,nuke,Esports World Cup 2024 South America Open Qualifier,13 - 5,Results for April 17th 2024,MIBR,Bounty Hunters,1
BLEED,KOI,0,bo3,Thunderpick World Championship 2024 EU Closed Qualifier 1,1 - 2,Results for April 16th 2024,KOI,BLEED,0
Sangal,Zero Tenacity,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,2 - 1,Results for April 16th 2024,Sangal,Zero Tenacity,1
NAVI Javelins,Pigeons,0,bo3,European Pro League Female Season 1,1 - 2,Results for April 16th 2024,Pigeons,NAVI Javelins,0
500,Passion UA,0,bo3,YaLLa Compass Spring 2024,2 - 1,Results for April 16th 2024,500,Passion UA,1
GamerLegion,MOUZ NXT,0,bo3,Thunderpick World Championship 2024 EU Closed Qualifier 1,2 - 1,Results for April 16th 2024,GamerLegion,MOUZ NXT,1
Guild Eagles,Sashi,0,bo3,YaLLa Compass Spring 2024,1 - 2,Results for April 16th 2024,Sashi,Guild Eagles,0
1WIN,ENCE Academy,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,2 - 0,Results for April 16th 2024,1WIN,ENCE Academy,1
Johnny Speeds,Viperio,0,bo3,United21 League Season 14,1 - 2,Results for April 16th 2024,Viperio,Johnny Speeds,0
ECF,Enterprise,0,def,Elisa Invitational Spring 2024,0 - 1,Results for April 16th 2024,Enterprise,ECF,0
Gaimin Gladiators,Permitta,1,bo3,Elisa Invitational Spring 2024,2 - 1,Results for April 16th 2024,Gaimin Gladiators,Permitta,1
ALTERNATE aTTaX,Aurora Young Blud,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,1 - 2,Results for April 16th 2024,Aurora Young Blud,ALTERNATE aTTaX,0
Sampi,SAW,0,bo3,Thunderpick World Championship 2024 EU Closed Qualifier 1,1 - 2,Results for April 16th 2024,SAW,Sampi,0
AMKAL,B8,0,bo3,YaLLa Compass Spring 2024,0 - 2,Results for April 16th 2024,B8,AMKAL,0
BLEED,SINNERS,0,bo3,Elisa Invitational Spring 2024,0 - 2,Results for April 16th 2024,SINNERS,BLEED,0
Sampi,Secret,0,bo3,European Pro League Season 15,1 - 2,Results for April 16th 2024,Secret,Sampi,0
Viperio,Lazer Cats,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,0 - 2,Results for April 16th 2024,Lazer Cats,Viperio,0
UNiTY,Lilmix,0,bo3,United21 League Season 14,1 - 2,Results for April 16th 2024,Lilmix,UNiTY,0
Nouns,Limitless,0,vtg,ESL Challenger League Season 47 North America,11 - 13,Results for April 16th 2024,Limitless,Nouns,0
Nouns,Limitless,0,anc,ESL Challenger League Season 47 North America,13 - 10,Results for April 16th 2024,Nouns,Limitless,1
NRG,Mythic,0,nuke,ESL Challenger League Season 47 North America,6 - 13,Results for April 16th 2024,Mythic,NRG,0
NRG,Mythic,0,ovp,ESL Challenger League Season 47 North America,13 - 5,Results for April 16th 2024,NRG,Mythic,1
MIBR,Imperial,1,bo3,RES Regional Series 3 LATAM,1 - 2,Results for April 16th 2024,Imperial,MIBR,0
Sangal,B8,0,bo3,ESL Challenger League Season 47 Europe,2 - 1,Results for April 15th 2024,Sangal,B8,1
Zero Tenacity,ALTERNATE aTTaX,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,0 - 2,Results for April 15th 2024,ALTERNATE aTTaX,Zero Tenacity,0
NAVI Javelins,NIP Impact,0,bo3,European Pro League Female Season 1,2 - 0,Results for April 15th 2024,NAVI Javelins,NIP Impact,1
Sangal,Aurora Young Blud,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,2 - 0,Results for April 15th 2024,Sangal,Aurora Young Blud,1
ENCE Academy,Sampi,0,bo3,European Pro League Season 15,0 - 2,Results for April 15th 2024,Sampi,ENCE Academy,0
Alliance,HAVU,0,bo3,YaLLa Compass Spring 2024,2 - 1,Results for April 15th 2024,Alliance,HAVU,1
Sashi,ex-Preasy,0,bo3,Elisa Invitational Spring 2024,1 - 2,Results for April 15th 2024,ex-Preasy,Sashi,0
ENCE Academy,Viperio,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,2 - 1,Results for April 15th 2024,ENCE Academy,Viperio,1
Secret,PGE Turow,0,bo3,European Pro League Season 15,0 - 2,Results for April 15th 2024,PGE Turow,Secret,0
MOUZ NXT,Alliance,0,bo3,Elisa Invitational Spring 2024,0 - 2,Results for April 15th 2024,Alliance,MOUZ NXT,0
ECLOT,Astralis Talent,0,bo3,European Pro League Season 15,1 - 2,Results for April 15th 2024,Astralis Talent,ECLOT,0
1WIN,Lazer Cats,0,bo3,CCT Season 2 Europe Series 1 Closed Qualifier,2 - 0,Results for April 15th 2024,1WIN,Lazer Cats,1
FlyQuest RED,Shimmer,0,bo3,ESL Impact Spring 2024 Cash Cup 2 North America,1 - 2,Results for April 15th 2024,Shimmer,FlyQuest RED,0
MIBR,Galorys,0,bo3,RES Regional Series 3 LATAM,1 - 2,Results for April 15th 2024,Galorys,MIBR,0
Metizport,Endpoint,0,def,YaLLa Compass Spring 2024,1 - 0,Results for April 15th 2024,Metizport,Endpoint,1
Imperial,paiN,2,bo3,RES Regional Series 3 LATAM,1 - 2,Results for April 14th 2024,paiN,Imperial,0
Pigeons,NIP Impact,0,bo3,European Pro League Female Season 1,2 - 1,Results for April 14th 2024,Pigeons,NIP Impact,1
15 Average,OG3OD,0,bo3,961Gamers New Dawn Cup 2024,2 - 1,Results for April 14th 2024,15 Average,OG3OD,1
Aurora,OG,0,bo5,Skyesports Masters 2024,3 - 1,Results for April 14th 2024,Aurora,OG,1
ex-FORZE Ladies,Spirit fe,0,bo3,ESL Impact Spring 2024 Cash Cup 2 Europe,0 - 2,Results for April 14th 2024,Spirit fe,ex-FORZE Ladies,0
BetBoom,3DMAX,0,bo3,A1 Gaming League Season 8,2 - 1,Results for April 14th 2024,BetBoom,3DMAX,1
NAVI Javelins,Astralis W,0,bo3,European Pro League Female Season 1,2 - 0,Results for April 14th 2024,NAVI Javelins,Astralis W,1
SINNERS,Passion UA,0,bo3,European Pro League Season 15,2 - 0,Results for April 14th 2024,SINNERS,Passion UA,1
FaZe,MOUZ,4,bo3,IEM Chengdu 2024,0 - 2,Results for April 14th 2024,MOUZ,FaZe,0
Espionage,UNiTY,0,bo3,European Pro League Season 15,1 - 2,Results for April 14th 2024,UNiTY,Espionage,0
captainMo's Team,DD's Team,0,def,Showmatch CS,9 - 13,Results for April 14th 2024,DD's Team,captainMo's Team,0
Imperial,RED Canids,1,bo3,RES Regional Series 3 LATAM,2 - 1,Results for April 14th 2024,Imperial,RED Canids,1
paiN,ODDIK,1,bo3,RES Regional Series 3 LATAM,2 - 0,Results for April 14th 2024,paiN,ODDIK,1
OG,BetBoom,0,bo3,Skyesports Masters 2024,2 - 1,Results for April 13th 2024,OG,BetBoom,1
MIBR,Case,0,bo3,RES Regional Series 3 LATAM,2 - 0,Results for April 13th 2024,MIBR,Case,1
En av de lette,777,0,bo3,Bergen Games 2024 Finals,2 - 0,Results for April 13th 2024,En av de lette,777,1
NIP Impact,Astralis W,0,bo3,European Pro League Female Season 1,2 - 0,Results for April 13th 2024,NIP Impact,Astralis W,1
Monte,Rebels,0,bo3,ESL Challenger League Season 47 Europe,2 - 1,Results for April 13th 2024,Monte,Rebels,1
Aurora,BetBoom,0,bo3,Skyesports Masters 2024,2 - 0,Results for April 13th 2024,Aurora,BetBoom,1
Galorys,Fluxo,0,bo3,RES Regional Series 3 LATAM,1 - 2,Results for April 13th 2024,Fluxo,Galorys,0
Pigeons,NAVI Javelins,0,bo3,European Pro League Female Season 1,2 - 0,Results for April 13th 2024,Pigeons,NAVI Javelins,1
3DMAX,ex-Preasy,0,bo3,A1 Gaming League Season 8,0 - 2,Results for April 13th 2024,ex-Preasy,3DMAX,0
OG,BIG,0,bo3,Skyesports Masters 2024,2 - 1,Results for April 13th 2024,OG,BIG,1
FaZe,Astralis,1,bo3,IEM Chengdu 2024,1 - 2,Results for April 13th 2024,Astralis,FaZe,0
ALTERNATE aTTaX,Alliance,0,bo3,European Pro League Season 15,0 - 2,Results for April 13th 2024,Alliance,ALTERNATE aTTaX,0
BetBoom,Sampi,0,bo3,A1 Gaming League Season 8,0 - 2,Results for April 13th 2024,Sampi,BetBoom,0
MOUZ,G2,3,bo3,IEM Chengdu 2024,2 - 1,Results for April 13th 2024,MOUZ,G2,1
Case,adalYamigos,0,bo3,RES Regional Series 3 LATAM,2 - 1,Results for April 13th 2024,Case,adalYamigos,1
Galorys,Sharks,0,bo3,RES Regional Series 3 LATAM,2 - 1,Results for April 13th 2024,Galorys,Sharks,1
Aurora,AMKAL,1,bo3,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,0 - 2,Results for April 12th 2024,AMKAL,Aurora,0
RED Canids,W7M,0,bo3,RES Regional Series 3 LATAM,2 - 1,Results for April 12th 2024,RED Canids,W7M,1
BIG,FORZE,0,bo3,Skyesports Masters 2024,2 - 1,Results for April 12th 2024,BIG,FORZE,1
Monte,Sangal,0,bo3,ESL Challenger League Season 47 Europe,0 - 2,Results for April 12th 2024,Sangal,Monte,0
ODDIK,Solid,0,bo3,RES Regional Series 3 LATAM,1 - 2,Results for April 12th 2024,Solid,ODDIK,0
OG,Ninjas in Pyjamas,0,bo3,Skyesports Masters 2024,2 - 0,Results for April 12th 2024,OG,Ninjas in Pyjamas,1
Astralis W,Permitta W,0,bo3,European Pro League Female Season 1,0 - 2,Results for April 12th 2024,Permitta W,Astralis W,0
FaZe,Liquid,1,bo3,IEM Chengdu 2024,1 - 2,Results for April 12th 2024,Liquid,FaZe,0
Permitta,MOUZ NXT,0,bo3,European Pro League Season 15,2 - 1,Results for April 12th 2024,Permitta,MOUZ NXT,1
NAVI Javelins,Let Her Cook,0,def,European Pro League Female Season 1,1 - 0,Results for April 12th 2024,NAVI Javelins,Let Her Cook,1
JANO,Zero Tenacity,0,bo3,European Pro League Season 15,2 - 0,Results for April 12th 2024,JANO,Zero Tenacity,1
G2,Virtus.pro,3,bo3,IEM Chengdu 2024,0 - 2,Results for April 12th 2024,Virtus.pro,G2,0
Carpe Diem,Mythic,0,nuke,ESL Challenger League Season 47 North America,14 - 16,Results for April 12th 2024,Mythic,Carpe Diem,0
BOSS,Limitless,0,anb,ESL Challenger League Season 47 North America,9 - 13,Results for April 12th 2024,Limitless,BOSS,0
Limitless Angels,Nouns fe,0,bo3,ESL Impact League Season 5 North America,1 - 2,Results for April 12th 2024,Nouns fe,Limitless Angels,0
Mythic,Carpe Diem,0,mrg,ESL Challenger League Season 47 North America,9 - 13,Results for April 12th 2024,Carpe Diem,Mythic,0
MIBR,paiN,1,bo3,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2 - 0,Results for April 12th 2024,MIBR,paiN,1
BOSS,Limitless,0,anc,ESL Challenger League Season 47 North America,13 - 3,Results for April 12th 2024,BOSS,Limitless,1
Vikings KR,Galorys,0,bo3,RedZone PRO League 2024 Season 2,1 - 2,Results for April 12th 2024,Galorys,Vikings KR,0
Imperial,adalYamigos,1,bo3,RES Regional Series 3 LATAM,2 - 0,Results for April 12th 2024,Imperial,adalYamigos,1
Shimmer,COVEN,0,bo3,ESL Impact League Season 5 North America,0 - 2,Results for April 12th 2024,COVEN,Shimmer,0
MIBR fe,W7M fe,0,bo3,ESL Impact League Season 5 South America,1 - 2,Results for April 12th 2024,W7M fe,MIBR fe,0
Atrix,Divina fe,0,bo3,ESL Impact League Season 5 South America,0 - 2,Results for April 12th 2024,Divina fe,Atrix,0
paiN,Sharks,1,bo3,RES Regional Series 3 LATAM,0 - 2,Results for April 12th 2024,Sharks,paiN,0
Aurora,BetBoom,0,bo3,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,1 - 2,Results for April 12th 2024,BetBoom,Aurora,0
Fearless Cheetahs,VP.Angels,0,bo3,ESL Impact League Season 5 Europe,1 - 2,Results for April 11th 2024,VP.Angels,Fearless Cheetahs,0
500,PARIVISION,0,bo3,YaLLa Compass Spring 2024,2 - 1,Results for April 11th 2024,500,PARIVISION,1
Galorys,BESTIA,0,bo3,RES Regional Series 3 LATAM,0 - 2,Results for April 11th 2024,BESTIA,Galorys,0
Pigeons,Astralis W,0,bo3,ESL Impact League Season 5 Europe,2 - 0,Results for April 11th 2024,Pigeons,Astralis W,1
paiN,Imperial,2,bo3,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,0 - 2,Results for April 11th 2024,Imperial,paiN,0
NIP Impact,Let Her Cook,0,bo3,European Pro League Female Season 1,2 - 0,Results for April 11th 2024,NIP Impact,Let Her Cook,1
Aurora,Apeks,1,bo3,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,2 - 1,Results for April 11th 2024,Aurora,Apeks,1
BetBoom,Ninjas in Pyjamas,0,bo3,Skyesports Masters 2024,2 - 0,Results for April 11th 2024,BetBoom,Ninjas in Pyjamas,1
NAVI Javelins,Spirit fe,0,bo3,European Pro League Female Season 1,2 - 0,Results for April 11th 2024,NAVI Javelins,Spirit fe,1
Case,FURIA Academy,0,bo3,RES Regional Series 3 LATAM,0 - 2,Results for April 11th 2024,FURIA Academy,Case,0
Passion UA,3DMAX,0,bo3,YaLLa Compass Spring 2024,0 - 2,Results for April 11th 2024,3DMAX,Passion UA,0
Aurora,FORZE,0,bo3,Skyesports Masters 2024,0 - 2,Results for April 11th 2024,FORZE,Aurora,0
AMKAL,BetBoom,0,bo3,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,1 - 2,Results for April 11th 2024,BetBoom,AMKAL,0
Alliance,Zero Tenacity,0,bo3,Elisa Invitational Spring 2024,2 - 0,Results for April 11th 2024,Alliance,Zero Tenacity,1
ENCE Academy,Secret,0,bo3,European Pro League Season 15,2 - 0,Results for April 11th 2024,ENCE Academy,Secret,1
Espionage,Enterprise,0,bo3,Elisa Invitational Spring 2024,1 - 2,Results for April 11th 2024,Enterprise,Espionage,0
Sampi,PGE Turow,0,bo3,European Pro League Season 15,2 - 1,Results for April 11th 2024,Sampi,PGE Turow,1
One More,FLUFFY AIMERS,0,inf,ESL Challenger League Season 47 North America,13 - 10,Results for April 11th 2024,One More,FLUFFY AIMERS,1
NRG,BOSS,0,mrg,ESL Challenger League Season 47 North America,13 - 7,Results for April 11th 2024,NRG,BOSS,1
Nouns,Elevate,0,ovp,ESL Challenger League Season 47 North America,2 - 13,Results for April 11th 2024,Elevate,Nouns,0
MIGHT,Take Flyte,0,anb,ESL Challenger League Season 47 North America,13 - 7,Results for April 11th 2024,MIGHT,Take Flyte,1
LAG,Mythic,0,anb,ESL Challenger League Season 47 North America,13 - 6,Results for April 11th 2024,LAG,Mythic,1
FLUFFY AIMERS,One More,0,mrg,ESL Challenger League Season 47 North America,13 - 11,Results for April 11th 2024,FLUFFY AIMERS,One More,1
BOSS,NRG,0,anc,ESL Challenger League Season 47 North America,13 - 8,Results for April 11th 2024,BOSS,NRG,1
Sharks,ODDIK,0,vtg,ESL Challenger League Season 47 South America,23 - 25,Results for April 11th 2024,ODDIK,Sharks,0
Nouns,Elevate,0,mrg,ESL Challenger League Season 47 North America,13 - 4,Results for April 11th 2024,Nouns,Elevate,1
LAG,Mythic,0,anc,ESL Challenger League Season 47 North America,5 - 13,Results for April 11th 2024,Mythic,LAG,0
Take Flyte,MIGHT,0,mrg,ESL Challenger League Season 47 North America,13 - 7,Results for April 11th 2024,Take Flyte,MIGHT,1
FlyQuest RED,cleanup crew fe,0,bo3,ESL Impact League Season 5 North America,2 - 0,Results for April 11th 2024,FlyQuest RED,cleanup crew fe,1
Karma,WG Bandits,0,bo3,ESL Impact League Season 5 North America,0 - 2,Results for April 11th 2024,WG Bandits,Karma,0
ODDIK,Sharks,0,anb,ESL Challenger League Season 47 South America,8 - 13,Results for April 11th 2024,Sharks,ODDIK,0
Fluxo,Imperial,1,mrg,ESL Challenger League Season 47 South America,13 - 6,Results for April 11th 2024,Fluxo,Imperial,1
RED Canids,2GAME,0,nuke,ESL Challenger League Season 47 South America,8 - 13,Results for April 11th 2024,2GAME,RED Canids,0
MIBR,Galorys,0,anc,ESL Challenger League Season 47 South America,4 - 13,Results for April 11th 2024,Galorys,MIBR,0
MIBR,Galorys,0,mrg,ESL Challenger League Season 47 South America,13 - 8,Results for April 11th 2024,MIBR,Galorys,1
Imperial,Fluxo,1,inf,ESL Challenger League Season 47 South America,13 - 2,Results for April 11th 2024,Imperial,Fluxo,1
RED Canids,2GAME,0,anb,ESL Challenger League Season 47 South America,13 - 6,Results for April 11th 2024,RED Canids,2GAME,1
Fluxo Demons,GENKID4M4,0,bo3,ESL Impact League Season 5 South America,2 - 0,Results for April 11th 2024,Fluxo Demons,GENKID4M4,1
FURIA fe,KG fe,0,bo3,ESL Impact League Season 5 South America,0 - 2,Results for April 11th 2024,KG fe,FURIA fe,0
paiN,RED Canids,1,bo3,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2 - 1,Results for April 11th 2024,paiN,RED Canids,1
Aurora,PARIVISION,0,bo3,ESL Challenger League Season 47 Europe,2 - 1,Results for April 11th 2024,Aurora,PARIVISION,1
SAW,9 Pandas,1,bo3,ESL Challenger League Season 47 Europe,1 - 2,Results for April 11th 2024,9 Pandas,SAW,0
brazylijski luz,Betera,0,bo3,ESL Challenger League Season 47 Europe,1 - 2,Results for April 10th 2024,Betera,brazylijski luz,0
FORZE,TSM,0,bo3,ESL Challenger League Season 47 Europe,1 - 2,Results for April 10th 2024,TSM,FORZE,0
SINNERS,3DMAX,0,bo3,ESL Challenger League Season 47 Europe,2 - 1,Results for April 10th 2024,SINNERS,3DMAX,1
AMKAL,Apeks,1,bo3,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,2 - 1,Results for April 10th 2024,AMKAL,Apeks,1
KOI,RUSH B,0,bo3,ESL Challenger League Season 47 Europe,2 - 0,Results for April 10th 2024,KOI,RUSH B,1
GUILD fe,NIP Impact,0,bo3,ESL Impact League Season 5 Europe,2 - 1,Results for April 10th 2024,GUILD fe,NIP Impact,1
1WIN Gang,Let Her Cook,0,bo3,ESL Impact League Season 5 Europe,0 - 2,Results for April 10th 2024,Let Her Cook,1WIN Gang,0
BIG,Gods Reign,0,bo3,Skyesports Masters 2024,2 - 0,Results for April 10th 2024,BIG,Gods Reign,1
Pigeons,Astralis W,0,bo3,European Pro League Female Season 1,2 - 0,Results for April 10th 2024,Pigeons,Astralis W,1
MIBR,Imperial,1,bo3,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,0 - 2,Results for April 10th 2024,Imperial,MIBR,0
OG,ENCE,1,bo3,Skyesports Masters 2024,1 - 2,Results for April 10th 2024,ENCE,OG,0
BetBoom,Aurora,0,bo3,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,2 - 0,Results for April 10th 2024,BetBoom,Aurora,1
Permitta W,VP.Angels,0,bo3,European Pro League Female Season 1,0 - 2,Results for April 10th 2024,VP.Angels,Permitta W,0
Nexus,B8,0,bo3,YaLLa Compass Spring 2024,1 - 2,Results for April 10th 2024,B8,Nexus,0
G2,HEROIC,3,bo3,IEM Chengdu 2024,2 - 0,Results for April 10th 2024,G2,HEROIC,1
Passion UA,Espionage,0,bo3,European Pro League Season 15,1 - 2,Results for April 10th 2024,Espionage,Passion UA,0
FaZe,FlyQuest,1,bo3,IEM Chengdu 2024,2 - 0,Results for April 10th 2024,FaZe,FlyQuest,1
Enterprise,AMKAL,0,bo3,YaLLa Compass Spring 2024,2 - 0,Results for April 10th 2024,Enterprise,AMKAL,1
Bad News Kangaroos,Rooster,0,inf,ESL Challenger League Season 47 Oceania,13 - 9,Results for April 10th 2024,Bad News Kangaroos,Rooster,1
Vantage,VexX,0,anb,ESL Challenger League Season 47 Oceania,6 - 13,Results for April 10th 2024,VexX,Vantage,0
Mindfreak,DXA,0,anc,ESL Challenger League Season 47 Oceania,11 - 13,Results for April 10th 2024,DXA,Mindfreak,0
SINNERS,UNiTY,0,bo3,European Pro League Season 15,2 - 1,Results for April 10th 2024,SINNERS,UNiTY,1
Permitta,EYEBALLERS,0,bo3,Elisa Invitational Spring 2024,0 - 2,Results for April 10th 2024,EYEBALLERS,Permitta,0
KZG,Canon Event,0,ovp,ESL Challenger League Season 47 Oceania,11 - 13,Results for April 10th 2024,Canon Event,KZG,0
MOUZ,Liquid,1,bo3,IEM Chengdu 2024,0 - 2,Results for April 10th 2024,Liquid,MOUZ,0
Astralis,Virtus.pro,1,bo3,IEM Chengdu 2024,0 - 2,Results for April 10th 2024,Virtus.pro,Astralis,0
ECSTATIC,Endpoint,1,def,Elisa Invitational Spring 2024,1 - 0,Results for April 10th 2024,ECSTATIC,Endpoint,1
Vantage,VexX,0,nuke,ESL Challenger League Season 47 Oceania,13 - 11,Results for April 10th 2024,Vantage,VexX,1
Mindfreak,DXA,0,mrg,ESL Challenger League Season 47 Oceania,13 - 7,Results for April 10th 2024,Mindfreak,DXA,1
Rooster,Bad News Kangaroos,0,nuke,ESL Challenger League Season 47 Oceania,13 - 6,Results for April 10th 2024,Rooster,Bad News Kangaroos,1
KZG,Canon Event,0,anc,ESL Challenger League Season 47 Oceania,13 - 0,Results for April 10th 2024,KZG,Canon Event,1
FlyQuest,Nemiga,0,bo3,IEM Chengdu 2024,2 - 0,Results for April 10th 2024,FlyQuest,Nemiga,1
FaZe,Cloud9,3,bo3,IEM Chengdu 2024,0 - 2,Results for April 10th 2024,Cloud9,FaZe,0
Party Astronauts,One More,0,anb,ESL Challenger League Season 47 North America,17 - 19,Results for April 10th 2024,One More,Party Astronauts,0
Nouns,MIGHT,0,nuke,ESL Challenger League Season 47 North America,4 - 13,Results for April 10th 2024,MIGHT,Nouns,0
BOSS,LAG,0,mrg,ESL Challenger League Season 47 North America,6 - 13,Results for April 10th 2024,LAG,BOSS,0
